QBID,Player,CMP,PassingATT,PCT,PassingYDS,YardsPerThrow,PassingTD,INT,SACKS,RushingATT,RushingYDS,RushingTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
14.0,Jaxson Dart (NYG),216.0,339.0,63.7,"2,272",6.7,15.0,5.0,35.0,86.0,487.0,9.0,2.0,14.0,246.5,17.6,83.7%
15.0,Jordan Love (GB),291.0,439.0,66.3,"3,381",7.7,23.0,6.0,21.0,47.0,199.0,0.0,2.0,15.0,241.3,16.1,58.8%
16.0,Jacoby Brissett (ARI),315.0,485.0,64.9,"3,366",6.9,23.0,8.0,43.0,38.0,168.0,1.0,4.0,14.0,235.4,16.8,44.2%
17.0,Daniel Jones (IND),261.0,384.0,68.0,"3,101",8.1,19.0,8.0,22.0,45.0,164.0,5.0,3.0,13.0,234.4,18.0,51.1%
18.0,Aaron Rodgers (FA),327.0,498.0,65.7,"3,322",6.7,24.0,7.0,29.0,21.0,61.0,1.0,1.0,16.0,234.2,14.6,36.1%
19.0,Bryce Young (CAR),304.0,478.0,63.6,"3,011",6.3,23.0,11.0,27.0,54.0,216.0,2.0,4.0,16.0,229.0,14.3,31.1%
20.0,Lamar Jackson (BAL),192.0,302.0,63.6,"2,549",8.4,21.0,7.0,36.0,67.0,349.0,2.0,3.0,13.0,221.8,17.1,91.0%
21.0,C.J. Stroud (HOU),273.0,423.0,64.5,"3,041",7.2,19.0,8.0,23.0,48.0,209.0,1.0,0.0,14.0,216.7,15.5,47.5%
22.0,Cam Ward (TEN),323.0,540.0,59.8,"3,169",5.9,15.0,7.0,55.0,39.0,159.0,2.0,7.0,17.0,193.7,11.4,32.9%
23.0,Geno Smith (NYJ),302.0,448.0,67.4,"3,025",6.8,19.0,17.0,55.0,41.0,109.0,0.0,1.0,15.0,190.9,12.7,30.5%
24.0,Brock Purdy (SF),197.0,284.0,69.4,"2,167",7.6,20.0,10.0,11.0,33.0,147.0,3.0,2.0,9.0,187.4,20.8,86.3%
25.0,Tua Tagovailoa (ATL),260.0,384.0,67.7,"2,660",6.9,20.0,15.0,30.0,20.0,43.0,0.0,1.0,14.0,175.6,12.5,25.6%
26.0,Tyler Shough (NO),221.0,327.0,67.6,"2,384",7.3,10.0,6.0,31.0,45.0,186.0,3.0,2.0,11.0,164.0,14.9,53.8%
27.0,Joe Flacco (CIN),251.0,416.0,60.3,"2,479",6.0,15.0,10.0,18.0,21.0,35.0,1.0,3.0,13.0,156.9,12.1,16.9%
28.0,Justin Fields (KC),128.0,204.0,62.7,"1,259",6.2,7.0,1.0,27.0,71.0,383.0,4.0,3.0,9.0,143.6,16.0,31.2%
29.0,Joe Burrow (CIN),173.0,259.0,66.8,"1,809",7.0,17.0,5.0,17.0,14.0,41.0,0.0,0.0,8.0,139.4,17.4,89.0%
30.0,J.J. McCarthy (MIN),140.0,243.0,57.6,"1,632",6.7,11.0,12.0,27.0,37.0,181.0,4.0,2.0,10.0,137.3,13.7,36.2%
31.0,Mac Jones (SF),201.0,289.0,69.6,"2,151",7.4,13.0,6.0,16.0,36.0,60.0,0.0,2.0,11.0,136.2,12.4,24.8%
32.0,Marcus Mariota (WAS),139.0,227.0,61.2,"1,695",7.5,10.0,7.0,16.0,50.0,297.0,1.0,3.0,12.0,132.4,11.0,15.1%
33.0,Michael Penix Jr. (ATL),166.0,276.0,60.1,"1,982",7.2,9.0,3.0,13.0,21.0,70.0,1.0,2.0,9.0,123.2,13.7,30.9%
34.0,Jayden Daniels (WAS),114.0,188.0,60.6,"1,262",6.7,8.0,3.0,18.0,58.0,278.0,2.0,2.0,7.0,117.1,16.7,82.0%
35.0,Kirk Cousins (LV),166.0,269.0,61.7,"1,721",6.4,10.0,5.0,13.0,14.0,7.0,1.0,1.0,10.0,108.6,10.9,27.1%
