RBID,Player,RushingATT,RushingYDS,YardsPerATT,Longest,20YardsorMore,RushingTD,TGT,REC,RecYDS,YardsPerRec,RecTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
123.0,Julius Chestnut (TEN),11.0,40,3.6,27.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.2,0.9%
123.0,Nathan Carter (ATL),9.0,60,6.7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,0.6%
125.0,Dylan Laube (LV),7.0,9,1.3,3.0,0.0,0.0,4.0,3.0,18.0,6.0,0.0,1.0,17.0,3.7,0.2,0.9%
126.0,Dameon Pierce (PHI),14.0,36,2.6,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.6,0.7,1.8%
127.0,D'Ernest Johnson (FA),14.0,25,1.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.5,0.4,1.0%
128.0,Patrick Ricard (NYG),1.0,3,3.0,3.0,0.0,0.0,2.0,1.0,8.0,8.0,0.0,0.0,12.0,2.1,0.2,0.9%
128.0,DeeJay Dallas (JAC),3.0,21,7.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.1,0.4,0.3%
130.0,Jacardia Wright (SEA),5.0,20,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0%
131.0,Roschon Johnson (CHI),2.0,17,8.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.7,0.3,1.1%
132.0,Jacob Saylors (DET),2.0,11,5.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.1,0.1,0.4%
132.0,Josh Williams (TB),4.0,11,2.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.1,0.6,0.3%
134.0,Amar Johnson (LAC),2.0,8,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,0.0%
135.0,Kalel Mullings (TEN),3.0,7,2.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.7,0.1,0.6%
136.0,Myles Gaskin (FA),3.0,6,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.0%
136.0,Owen Wright (TB),3.0,6,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6,0.2,0.0%
138.0,Craig Reynolds (FA),3.0,4,1.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.4,0.1,1.1%
138.0,Sione Vaki (DET),1.0,4,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.4,0.1,0.6%
140.0,Kendall Milton (CIN),2.0,2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.0%
141.0,Elijah Mitchell (NE),0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7%
142.0,Javian Hawkins (TEN),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
143.0,Keilan Robinson (NYJ),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%
143.0,Jashaun Corbin (FA),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%
143.0,Raheem Blackshear (FA),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6%
146.0,Patrick Taylor Jr. (SF),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7%
147.0,Trey Sermon (FA),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0%
148.0,Deuce Vaughn (DEN),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1%
149.0,Chris Collier (LV),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4%
149.0,Colson Yankoff (WAS),0.0,0,0.0,0.0,0.0,0.0,3.0,2.0,18.0,9.0,0.0,0.0,14.0,0.0,0.0,1.1%
151.0,Dante Miller (NYG),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
152.0,Jack Westover (NE),0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.1%
152.0,Jordan James (SF),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.1%
154.0,Jordan Waters (LAR),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
154.0,Frank Gore Jr. (BUF),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%
154.0,Damien Martinez (GB),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0%
157.0,Jordan Mims (FA),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%
157.0,Brady Russell (SEA),0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.1%
157.0,Isaac Guerendo (SF),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.6%
160.0,Cody Schrader (DEN),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%
160.0,Blake Watson (TEN),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1%
160.0,Michael Wiley (TB),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
160.0,Carson Steele (PHI),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1%
160.0,Jonathon Brooks (CAR),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3%
160.0,Lan Larison (NE),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%
166.0,Robbie Ouzts (SEA),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0%
