"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"157","Brady Russell (SEA)","0","0","0","0","0","0","1","0","0","0","0","0","16","0.0","0.0","0.1%"
"157","Isaac Guerendo (SF)","0","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","6.6%"
"160","Cody Schrader (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"160","Blake Watson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"160","Michael Wiley (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Carson Steele (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"160","Jonathon Brooks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.3%"
"160","Lan Larison (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"166","Robbie Ouzts (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"167","Ahmani Marshall (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Lucas Scott (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Max Hurleman (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","ShunDerrick Powell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Deion Hankins (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"172","Brock Lampe (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Kye Robichaux (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"174","Anthony Tyus III (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Montrell Johnson Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"176","Gary Brightwell (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"176","Avery Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"178","Pierre Strong Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"179","Eric Gray (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"180","Donovan Edwards (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"181","Sincere McCormick (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
